yyyymmdd,data,ano,year,month,day,time,time_difference,ltm,fil,fil_norm
20150913,28.0,-0.46755218216318895,2015,9,13,78782,1.0,28.46755218216319,-0.5076009771089979,-0.34902981685644313
20150914,28.0,-0.4318785578747679,2015,9,14,78783,1.0,28.431878557874768,-0.32257578106180346,-0.22180525819230065
20150915,28.6,0.2104364326375716,2015,9,15,78784,1.0,28.38956356736243,-0.1115548359503092,-0.07670584911586213
20150916,28.1,-0.25370018975332087,2015,9,16,78785,1.0,28.353700189753322,0.058227808757683096,0.04003782960071428
20150917,28.200000000000003,-0.12409867172675604,2015,9,17,78786,1.0,28.32409867172676,0.1437058831076514,0.09881312354425703
20150918,28.5,0.21195445920303868,2015,9,18,78787,1.0,28.28804554079696,0.1416820556228909,0.09742152626960619
20150919,28.3,0.04971537001897275,2015,9,19,78788,1.0,28.250284629981028,0.08914745619507725,0.061298385369940304
20150920,28.700000000000003,0.48311195445920774,2015,9,20,78789,1.0,28.216888045540795,0.048766723486519614,0.03353232427591209
20150921,27.400000000000002,-0.7715370018975349,2015,9,21,78790,1.0,28.171537001897537,0.08490230383927519,0.05837939030079739
20150922,28.1,-0.011954459203035839,2015,9,22,78791,1.0,28.111954459203037,0.23861496713227312,0.16407324263187906
20150923,28.900000000000002,0.8459203036053147,2015,9,23,78792,1.0,28.054079696394687,0.5105500850788705,0.35105764316299787
20150924,29.3,1.3083491461100536,2015,9,24,78793,1.0,27.991650853889947,0.8579855846908977,0.5899566096103639
20150925,29.700000000000003,1.7795066413662255,2015,9,25,78794,1.0,27.920493358633777,1.2075660922737748,0.8303304978427221
20150926,28.700000000000003,0.8508538899430782,2015,9,26,78795,1.0,27.849146110056925,1.4793108289909191,1.0171839909708895
20150927,27.8,0.025237191650852253,2015,9,27,78796,1.0,27.77476280834915,1.613019875849243,1.1091232232450408
20150928,29.0,1.302087286527513,2015,9,28,78797,1.0,27.697912713472487,1.5874410102633054,1.0915350246925029
20150929,29.700000000000003,2.091461100569262,2015,9,29,78798,1.0,27.60853889943074,1.425027836605492,0.9798586434142064
20150930,29.8,2.278368121442128,2015,9,30,78799,1.0,27.521631878557873,1.1806183285635792,0.8118010358112874
20151001,28.8,1.3662239089184034,2015,10,1,78800,1.0,27.433776091081597,0.9188043498730589,0.6317759981266443
20151002,27.900000000000002,0.5593927893738133,2015,10,2,78801,1.0,27.34060721062619,0.6885504667652488,0.47345189262684967
20151003,26.8,-0.41992409867172853,2015,10,3,78802,1.0,27.21992409867173,0.504544627262075,0.34692825032007374
20151004,26.700000000000003,-0.40645161290322207,2015,10,4,78803,1.0,27.106451612903225,0.34247349218814027,0.23548705705297632
20151005,26.700000000000003,-0.3051233396584436,2015,10,5,78804,1.0,27.005123339658446,0.15054254613721074,0.10351405863446653
20151006,26.0,-0.9049335863377621,2015,10,6,78805,1.0,26.904933586337762,-0.12689975519626645,-0.08725711791876538
